"","Sender","Receiver","Date","Hour","Minute","Duration_seconds","Focal"
"408","Amelia","Isaiah","2022-08-20",15,25,234,"Isaiah"
"409","Simone","Okatomi","2022-07-31",9,44,176,"Okatomi"
"410","Nawwaara","Kristen","2022-06-18",13,30,40,"Kristen"
"411","Dawnielle","Lahana","2022-02-26",11,54,59,"Lahana"
"412","Nawwaara","Anjanetta","2022-09-09",8,55,214,"Nawwaara"
"413","Adyn","Tre","2022-06-30",8,48,83,"Adyn"
"414","Mikaela","Brie","2022-04-16",12,13,216,"Mikaela"
"415","Isaiah","Brie","2022-05-17",15,7,190,"Isaiah"
"416","Deunna","Bryanna","2022-01-25",17,49,27,"Bryanna"
"417","Mufliha","Andrew","2022-07-07",17,47,29,"Mufliha"
"418","Pamela","Mufliha","2022-05-05",7,42,24,"Pamela"
"419","Tahleela","Trevon","2022-12-24",16,15,66,"Trevon"
"420","Dawnielle","Tre","2022-01-25",11,5,239,"Tre"
"421","Amelia","Kendell","2022-05-05",12,25,192,"Amelia"
"422","Kendell","Kristen","2022-04-16",11,28,73,"Kristen"
"423","Mckayla","Kelia","2022-10-22",7,2,107,"Mckayla"
"424","Deunna","Tahleela","2022-02-14",10,27,37,"Deunna"
"425","Mufliha","Barcley","2022-05-29",9,13,216,"Barcley"
"426","Okatomi","Kristen","2022-04-16",11,9,136,"Kristen"
"427","Anjanetta","Kristen","2022-04-16",11,28,137,"Kristen"
"428","Mckayla","Deunna","2022-04-04",8,22,30,"Deunna"
"429","Charise","Yushan","2022-12-24",11,8,128,"Charise"
"430","Makayla","Luis","2022-06-18",15,49,172,"Makayla"
"431","Deunna","Mikaela","2022-08-20",17,56,53,"Mikaela"
"432","Deunna","Lahana","2022-05-29",11,7,173,"Lahana"
"433","Ye-Ji","Lahana","2022-02-14",16,52,74,"Ye-Ji"
"434","Connor","Ye-Ji","2022-07-19",12,48,123,"Ye-Ji"
"435","Kiana","Sydni","2022-06-18",14,38,142,"Kiana"
"436","Hadiyya","Kelia","2022-10-10",11,47,232,"Hadiyya"
"437","Adam","Ye-Ji","2022-02-14",16,26,59,"Ye-Ji"
"438","Kiana","Najeeba","2022-07-07",12,32,26,"Kiana"
"439","Kaci","Saara","2022-02-02",7,45,211,"Kaci"
"440","Amelia","Lahana","2022-02-26",11,6,96,"Lahana"
"441","Pamela","Anastasia","2022-04-04",12,0,39,"Pamela"
"442","Grace","Maleeha","2022-04-28",7,35,197,"Grace"
"443","Mckayla","Luis","2022-06-06",14,30,71,"Luis"
"444","Joel","Luis","2022-04-04",15,41,179,"Joel"
"445","Lohitha","Brie","2022-04-28",10,29,47,"Lohitha"
"446","Nawwaara","Maleeha","2022-04-04",9,14,217,"Nawwaara"
"447","Saara","Mikaela","2022-04-16",12,30,147,"Mikaela"
"448","Sydni","Pamela","2022-10-22",14,27,140,"Sydni"
"449","Najeeba","Yushan","2022-03-03",10,44,213,"Yushan"
"450","Bryanna","Adyn","2022-06-30",8,43,138,"Adyn"
"451","Anjanetta","Ye-Ji","2022-02-14",13,17,72,"Ye-Ji"
"452","Ashqar","Anjanetta","2022-02-02",14,40,100,"Ashqar"
"453","Jennell","Kristen","2022-06-30",7,39,138,"Jennell"
"454","Mufliha","Deonte","2022-07-07",17,51,68,"Mufliha"
"455","Trevon","Adyn","2022-03-27",8,1,203,"Trevon"
"456","Sydni","Luis","2022-10-22",10,25,122,"Luis"
"457","Kelia","Kristen","2022-06-18",13,21,29,"Kristen"
"458","Trevon","Kristen","2022-12-24",16,10,207,"Trevon"
"459","Kristen","Kurtis","2022-03-15",13,57,186,"Kurtis"
"460","Kurtis","Kristen","2022-03-15",13,57,39,"Kurtis"
"461","Kiana","Makayla","2022-11-23",11,12,35,"Kiana"
"462","Kiana","Simone","2022-09-21",16,8,108,"Kiana"
"463","Luis","Burton","2022-04-16",9,28,210,"Burton"
"464","Luis","Abdul Ghani","2022-11-23",12,39,39,"Luis"
"465","Kiana","Najeeba","2022-06-18",14,4,196,"Kiana"
"466","Adam","Adyn","2022-07-07",7,19,52,"Adam"
"467","Kiana","Dawnielle","2022-05-05",15,57,213,"Dawnielle"
"468","Deunna","Okatomi","2022-01-13",15,25,56,"Deunna"
"469","Nhi","Mufliha","2022-02-02",15,57,140,"Nhi"
"470","Luis","Barcley","2022-09-09",14,5,38,"Barcley"
"471","Charise","Varun","2022-09-21",8,10,98,"Varun"
"472","Grace","Kurtis","2022-12-24",8,57,240,"Kurtis"
"473","Erick","Luis","2022-11-23",10,3,174,"Luis"
"474","Najeeba","Lohitha","2022-07-07",15,33,226,"Lohitha"
"475","James","Anjanetta","2022-12-12",10,35,171,"Anjanetta"
"476","Mikaela","Yushan","2022-03-03",13,26,39,"Yushan"
"477","Najeeba","Charise","2022-01-25",15,3,181,"Najeeba"
"478","Hishaam","Lahana","2022-02-26",11,12,181,"Lahana"
"479","Jennell","Anjanetta","2022-10-22",8,10,70,"Jennell"
"480","Bryanna","Anastasia","2022-02-14",11,33,104,"Bryanna"
"481","Najeeba","Charise","2022-08-20",13,39,171,"Charise"
"482","Yeni","Bryanna","2022-03-27",17,59,154,"Yeni"
"483","Deunna","Tiffany","2022-11-23",14,5,98,"Tiffany"
"484","Brie","Adyn","2022-07-07",8,31,159,"Adyn"
"485","Mufliha","Ye-Ji","2022-02-14",13,36,166,"Ye-Ji"
"486","Shelby","Mikaela","2022-08-20",16,12,30,"Shelby"
"487","Lahana","Charise","2022-02-26",11,14,219,"Lahana"
"488","Nawwaara","Adyn","2022-04-04",9,0,143,"Nawwaara"
"489","Okatomi","Brie","2022-10-22",13,38,220,"Okatomi"
"490","Simone","Lohitha","2022-04-28",10,58,195,"Lohitha"
"491","Lahana","Luis","2022-10-22",10,1,20,"Luis"
"492","Adam","Adyn","2022-07-31",14,37,206,"Adam"
"493","Kristen","Lohitha","2022-09-21",11,33,102,"Kristen"
"494","Barcley","Ye-Ji","2022-03-03",7,24,75,"Barcley"
"495","Mckayla","Bryanna","2022-12-24",10,21,112,"Mckayla"
"496","Kelia","Mufliha","2022-01-25",12,43,178,"Kelia"
"497","Nhi","Mufliha","2022-01-25",13,0,95,"Mufliha"
"498","Deonte","Luis","2022-11-23",12,5,124,"Luis"
"499","Dawnielle","Yushan","2022-03-03",13,4,181,"Yushan"
"500","Afnaan","Luis","2022-11-23",12,55,49,"Luis"
"501","Hadiyya","Kristen","2022-01-13",17,4,215,"Kristen"
"502","Grace","Okatomi","2022-09-21",10,56,131,"Okatomi"
"503","Maleeha","Anjanetta","2022-05-29",14,10,110,"Anjanetta"
"504","Nawwaara","Brie","2022-02-02",13,35,100,"Nawwaara"
"505","Yeni","Grace","2022-04-28",7,11,72,"Grace"
"506","Adam","Kristen","2022-04-16",11,36,205,"Kristen"
"507","Pamela","Yushan","2022-03-03",10,10,63,"Yushan"
"508","Connor","Ye-Ji","2022-01-25",7,28,29,"Ye-Ji"
"509","Kiana","Jennell","2022-02-02",8,3,219,"Kiana"
"510","Timothy","Luis","2022-02-26",16,33,220,"Timothy"
"511","Luis","Adyn","2022-11-23",12,18,90,"Luis"
"512","Pamela","Grace","2022-03-15",7,51,121,"Grace"
"513","Bryanna","Kendell","2022-01-25",17,49,43,"Bryanna"
"514","Kristen","Lohitha","2022-11-23",15,5,116,"Lohitha"
"515","Shelby","Luis","2022-10-22",10,3,126,"Luis"
"516","Bryanna","Charise","2022-08-20",13,35,35,"Charise"
"517","Deonte","Kristen","2022-04-16",11,32,183,"Kristen"
"518","Jennell","Charise","2022-06-30",9,17,155,"Charise"
"519","Charise","Kristen","2022-12-24",11,17,159,"Charise"
"520","Andrew","Ye-Ji","2022-09-21",15,6,189,"Ye-Ji"
"521","Okatomi","Kristen","2022-05-17",9,35,178,"Okatomi"
"522","Saara","Nhi","2022-01-01",17,39,97,"Saara"
"523","Kendell","Lahana","2022-03-15",17,22,144,"Lahana"
"524","Nawwaara","Kristen","2022-04-28",11,42,70,"Nawwaara"
"525","Simone","Yeni","2022-05-05",10,23,150,"Simone"
"526","Hishaam","Kristen","2022-04-16",11,39,92,"Kristen"
"527","Ye-Ji","Kristen","2022-01-13",17,45,97,"Kristen"
"528","Erick","Luis","2022-10-22",10,16,168,"Luis"
"529","Mikaela","Ye-Ji","2022-08-20",17,41,34,"Mikaela"
"530","Najeeba","Lahana","2022-04-28",15,28,57,"Lahana"
"531","Mikaela","Luis","2022-04-16",12,25,215,"Mikaela"
"532","Okatomi","Brie","2022-01-13",9,32,150,"Okatomi"
"533","Lahana","Brie","2022-03-15",17,50,58,"Lahana"
"534","Ashqar","Luis","2022-05-29",12,58,216,"Ashqar"
"535","Mufliha","Maleeha","2022-05-17",7,54,31,"Maleeha"
"536","Ye-Ji","Abdus Samad","2022-07-19",12,58,240,"Ye-Ji"
"537","Najeeba","Kendell","2022-09-21",14,30,132,"Najeeba"
"538","Yushan","Anastasia","2022-09-21",12,24,100,"Yushan"
"539","Burton","Mufliha","2022-05-05",8,32,79,"Burton"
"540","Mckayla","Yushan","2022-04-04",13,27,178,"Yushan"
"541","Kristen","Ye-Ji","2022-07-19",12,23,195,"Ye-Ji"
"542","Grace","Okatomi","2022-01-13",9,25,211,"Okatomi"
"543","Timothy","Adyn","2022-07-19",15,0,66,"Adyn"
"544","Lohitha","Charise","2022-07-31",8,56,197,"Charise"
"545","Yeni","Grace","2022-03-27",17,49,55,"Yeni"
"546","Luis","Anjanetta","2022-06-06",14,4,75,"Luis"
"547","Ye-Ji","Lahana","2022-03-15",17,56,160,"Lahana"
"548","Kelia","Okatomi","2022-10-22",13,20,77,"Okatomi"
"549","Anastasia","Kristen","2022-01-13",17,26,141,"Kristen"
"550","Mckayla","Makayla","2022-12-24",7,40,83,"Mckayla"
"551","Adyn","Andrew","2022-07-07",8,7,58,"Adyn"
"552","Lahana","Brie","2022-04-16",7,54,200,"Brie"
"553","Isaiah","Kristen","2022-05-17",15,24,153,"Isaiah"
"554","Simone","Kendell","2022-06-18",12,18,165,"Simone"
"555","Charise","Luis","2022-11-23",10,35,139,"Luis"
"556","Hadiyya","Nawwaara","2022-04-04",9,41,221,"Nawwaara"
"557","Simone","Pamela","2022-02-26",10,3,171,"Simone"
"558","Anastasia","Erick","2022-12-12",14,42,50,"Erick"
"559","Kurtis","Luis","2022-10-22",15,8,25,"Kurtis"
"560","Simone","Grace","2022-03-15",7,41,198,"Grace"
"561","Okatomi","Mufliha","2022-01-25",13,20,161,"Mufliha"
"562","Grace","Yushan","2022-04-04",13,36,160,"Yushan"
"563","Kiana","Deunna","2022-02-02",16,41,149,"Kiana"
"564","Simone","Makayla","2022-08-08",16,49,162,"Simone"
"565","Afnaan","Kendell","2022-02-02",12,6,207,"Afnaan"
"566","Adyn","Hishaam","2022-06-30",8,18,90,"Adyn"
"567","Okatomi","Nawwaara","2022-07-31",9,49,173,"Okatomi"
"568","Brie","Maleeha","2022-05-17",7,48,234,"Maleeha"
"569","Lohitha","Mufliha","2022-04-28",10,15,26,"Lohitha"
"570","Kiana","Maleeha","2022-11-23",11,46,61,"Kiana"
"571","Lahana","Nawwaara","2022-04-28",11,10,48,"Nawwaara"
"572","Trevon","Anjanetta","2022-05-29",14,44,75,"Anjanetta"
"573","Kiana","Sydni","2022-06-18",14,5,32,"Kiana"
"574","Kendell","Lohitha","2022-02-02",17,25,191,"Lohitha"
"575","Isaiah","Adyn","2022-07-07",8,23,63,"Adyn"
"576","Kelia","Kristen","2022-06-18",13,10,191,"Kristen"
"577","Nhi","Najeeba","2022-01-01",15,3,195,"Nhi"
"578","Ye-Ji","Kristen","2022-01-13",17,46,70,"Kristen"
"579","Ye-Ji","Timothy","2022-02-26",16,2,224,"Timothy"
"580","Tahleela","Charise","2022-06-30",9,0,134,"Charise"
"581","Anastasia","Yushan","2022-04-04",13,58,208,"Yushan"
"582","Luis","Kristen","2022-10-22",10,12,58,"Luis"
"583","Tiffany","Anjanetta","2022-05-29",14,31,77,"Anjanetta"
"584","Hadiyya","Andrew","2022-10-10",11,21,226,"Hadiyya"
"585","Lahana","Adyn","2022-06-06",15,2,148,"Lahana"
"586","Okatomi","Lahana","2022-05-29",11,54,119,"Lahana"
"587","Pamela","Anjanetta","2022-04-04",12,54,142,"Pamela"
"588","Ashqar","Brie","2022-05-29",12,48,140,"Ashqar"
"589","Timothy","Lahana","2022-06-06",15,40,115,"Lahana"
"590","Anastasia","Hishaam","2022-01-13",13,33,196,"Anastasia"
"591","Kaci","Nhi","2022-01-01",15,47,215,"Nhi"
"592","Lahana","Maleeha","2022-04-28",15,35,239,"Lahana"
"593","Adyn","Anjanetta","2022-07-19",15,5,80,"Adyn"
"594","James","Trevon","2022-03-27",8,2,84,"Trevon"
"595","Nawwaara","Luis","2022-11-23",10,24,112,"Luis"
"596","Yeni","Brie","2022-04-16",7,34,32,"Brie"
"597","Kelia","Luis","2022-01-25",12,48,222,"Kelia"
"598","Sydni","Luis","2022-11-23",12,56,239,"Luis"
"599","Najeeba","Adyn","2022-07-07",8,13,138,"Adyn"
"600","Joel","Adyn","2022-03-15",10,27,40,"Joel"
"601","Isaiah","Ye-Ji","2022-08-20",15,42,202,"Isaiah"
"602","Okatomi","Kristen","2022-06-30",11,17,22,"Okatomi"
"603","Yushan","Kristen","2022-07-19",9,10,207,"Yushan"
"604","Kiana","Saara","2022-04-16",17,17,133,"Kiana"
"605","Joel","Luis","2022-04-04",15,12,178,"Joel"
"606","Nhi","Pamela","2022-01-01",15,41,135,"Nhi"
"607","Burton","Anjanetta","2022-05-05",8,24,91,"Burton"
"608","Kelia","Ye-Ji","2022-02-14",13,34,78,"Ye-Ji"
"609","Okatomi","Charise","2022-07-31",9,59,186,"Okatomi"
"610","Lahana","Kristen","2022-09-21",11,52,35,"Kristen"
"611","Sydni","Lohitha","2022-07-07",15,4,121,"Lohitha"
"612","Trevon","Luis","2022-11-23",12,50,237,"Luis"
"613","Andrew","Brie","2022-01-25",9,17,21,"Andrew"
"614","Kaci","Dawnielle","2022-05-05",15,36,96,"Dawnielle"
"615","Luis","Abdus Samad","2022-11-23",12,51,50,"Luis"
"616","Barcley","Kristen","2022-09-09",14,3,26,"Barcley"
"617","Simone","Nawwaara","2022-04-28",11,12,84,"Nawwaara"
"618","Abdus Samad","Kristen","2022-06-18",13,20,92,"Kristen"
"619","Lohitha","Adyn","2022-07-19",15,22,164,"Adyn"
"620","Connor","Ye-Ji","2022-10-10",13,17,69,"Connor"
"621","Mikaela","Luis","2022-08-20",17,2,167,"Mikaela"
"622","Makayla","Joel","2022-03-03",8,57,57,"Makayla"
"623","Anjanetta","Kristen","2022-12-12",10,4,166,"Anjanetta"
"624","Nhi","Yushan","2022-08-08",10,49,58,"Nhi"
"625","Anjanetta","Luis","2022-12-12",10,42,32,"Anjanetta"
"626","Connor","Kristen","2022-02-26",13,33,44,"Connor"
"627","Adyn","Kristen","2022-07-19",15,44,99,"Adyn"
"628","Okatomi","Luis","2022-10-22",10,47,134,"Luis"
"629","Mufliha","Luis","2022-10-22",10,39,107,"Luis"
"630","Grace","Joel","2022-04-16",15,7,46,"Grace"
"631","Mckayla","Grace","2022-12-24",7,43,226,"Mckayla"
"632","Adam","Anjanetta","2022-01-13",14,33,75,"Adam"
"633","Mufliha","Kristen","2022-01-13",17,3,195,"Kristen"
"634","Sydni","Okatomi","2022-09-21",10,29,240,"Okatomi"
"635","Lohitha","Maleeha","2022-02-14",15,47,81,"Lohitha"
"636","Mikaela","Yushan","2022-04-16",12,1,225,"Mikaela"
"637","Hadiyya","Yushan","2022-09-21",12,46,237,"Yushan"
"638","Jennell","Pamela","2022-06-18",17,14,177,"Jennell"
"639","Tahleela","Yushan","2022-04-28",16,53,180,"Yushan"
"640","Lahana","Okatomi","2022-04-28",15,40,41,"Lahana"
"641","Tahleela","Pamela","2022-11-11",10,49,87,"Tahleela"
"642","Mckayla","Mikaela","2022-12-24",10,33,142,"Mckayla"
"643","Jennell","Ye-Ji","2022-10-22",8,5,227,"Jennell"
"644","Abdul Ghani","Lohitha","2022-10-10",15,16,226,"Abdul Ghani"
"645","Adyn","Anjanetta","2022-04-28",14,49,228,"Adyn"
"646","Jennell","Nhi","2022-06-30",12,7,52,"Jennell"
"647","Kurtis","Mufliha","2022-07-07",17,48,62,"Mufliha"
"648","Andrew","Kristen","2022-01-13",17,39,197,"Kristen"
"649","Kelia","Lohitha","2022-01-25",12,58,132,"Kelia"
"650","Afnaan","Adyn","2022-06-06",17,28,46,"Afnaan"
"651","Connor","Maleeha","2022-10-10",13,30,206,"Connor"
"652","Dawnielle","Adyn","2022-03-03",11,48,221,"Dawnielle"
"653","Maleeha","Lahana","2022-06-18",16,9,121,"Lahana"
"654","Lohitha","Brie","2022-02-14",15,22,228,"Lohitha"
"655","Lahana","Maleeha","2022-06-18",16,34,173,"Lahana"
"656","Tahleela","Mufliha","2022-07-07",17,42,88,"Mufliha"
"657","Okatomi","Brie","2022-07-31",9,40,215,"Okatomi"
"658","Adyn","Kristen","2022-06-18",13,28,120,"Kristen"
"659","Yushan","Abdus Samad","2022-04-04",7,4,117,"Abdus Samad"
"660","Grace","Adyn","2022-04-28",14,6,85,"Adyn"
"661","Anjanetta","Erick","2022-08-08",8,13,236,"Erick"
"662","Barcley","Mufliha","2022-09-09",13,14,122,"Barcley"
"663","Shelby","Andrew","2022-12-24",15,56,26,"Andrew"
"664","Abdul Ghani","Kristen","2022-03-15",14,21,40,"Abdul Ghani"
"665","Erick","Brie","2022-12-12",14,44,75,"Erick"
"666","Nhi","Adyn","2022-07-19",15,53,44,"Adyn"
"667","Mikaela","Anjanetta","2022-12-12",10,28,28,"Anjanetta"
"668","Adyn","Varun","2022-08-20",10,21,104,"Varun"
"669","Jennell","Lahana","2022-03-15",17,40,39,"Lahana"
"670","Kurtis","Luis","2022-10-22",15,2,72,"Kurtis"
"671","Shelby","Barcley","2022-12-24",12,48,208,"Barcley"
"672","Mikaela","Ye-Ji","2022-11-11",8,17,93,"Mikaela"
"673","Mikaela","Charise","2022-11-11",8,15,227,"Mikaela"
"674","Andrew","Luis","2022-10-22",10,55,24,"Luis"
"675","Grace","Kristen","2022-06-18",13,48,180,"Kristen"
"676","Kiana","Simone","2022-05-05",10,48,189,"Simone"
"677","Kiana","Shelby","2022-02-02",8,32,144,"Kiana"
"678","Tiffany","Luis","2022-10-22",10,56,205,"Luis"
"679","Anjanetta","Mckayla","2022-10-22",7,37,36,"Mckayla"
"680","Barcley","Adyn","2022-07-07",8,55,173,"Adyn"
"681","Yushan","Anastasia","2022-03-03",10,21,116,"Yushan"
"682","James","Isaiah","2022-04-16",14,13,209,"James"
"683","Mckayla","Lohitha","2022-10-22",7,43,159,"Mckayla"
"684","Nhi","Simone","2022-08-08",10,41,207,"Nhi"
"685","Nhi","Najeeba","2022-09-21",14,2,63,"Najeeba"
"686","Ye-Ji","Luis","2022-01-25",7,25,137,"Ye-Ji"
"687","Joel","Luis","2022-10-22",10,18,23,"Luis"
"688","Shelby","Lohitha","2022-02-14",15,5,129,"Lohitha"
"689","Tre","Ye-Ji","2022-01-25",11,47,163,"Tre"
"690","Kiana","Tiffany","2022-06-18",14,39,126,"Kiana"
"691","Saara","Charise","2022-02-02",9,2,22,"Charise"
"692","Hadiyya","Okatomi","2022-03-03",12,31,233,"Hadiyya"
"693","Najeeba","Jennell","2022-06-30",12,26,103,"Jennell"
"694","Ashqar","Kristen","2022-09-21",11,34,190,"Kristen"
"695","Adyn","Kurtis","2022-07-07",8,58,86,"Adyn"
"696","Pamela","Luis","2022-10-22",10,57,85,"Luis"
"697","Kiana","Dawnielle","2022-02-02",16,34,187,"Kiana"
"698","Jennell","Yeni","2022-04-28",17,57,87,"Jennell"
"699","Bryanna","Grace","2022-04-28",8,59,226,"Grace"
"700","Simone","Nhi","2022-02-02",15,2,69,"Nhi"
"701","Shelby","Varun","2022-12-24",14,8,232,"Varun"
"702","Tiffany","Kristen","2022-11-23",14,36,169,"Tiffany"
"703","Okatomi","Anjanetta","2022-01-01",9,10,71,"Anjanetta"
"704","Brie","Ye-Ji","2022-09-21",15,16,200,"Ye-Ji"
"705","Lohitha","Lahana","2022-11-23",15,9,189,"Lohitha"
"706","Makayla","Ye-Ji","2022-06-18",15,1,90,"Makayla"
"707","Grace","Luis","2022-11-23",12,40,206,"Luis"
"708","Deonte","Adyn","2022-06-30",8,12,117,"Adyn"
"709","Najeeba","Adyn","2022-08-20",12,28,178,"Najeeba"
"710","Luis","Hishaam","2022-05-17",12,37,25,"Hishaam"
"711","Grace","Adyn","2022-04-28",7,16,152,"Grace"
"712","Joel","Kendell","2022-04-04",15,37,96,"Joel"
"713","Tiffany","Nawwaara","2022-01-01",14,39,177,"Tiffany"
"714","Kaci","Simone","2022-05-05",10,7,49,"Simone"
"715","Barcley","Anjanetta","2022-01-01",9,21,34,"Anjanetta"
"716","Brie","Kristen","2022-04-16",7,53,76,"Brie"
"717","Saara","Kendell","2022-03-15",12,27,234,"Kendell"
"718","Adam","Luis","2022-11-23",12,59,96,"Luis"
"719","Isaiah","Brie","2022-08-20",15,41,65,"Isaiah"
"720","Mikaela","Kendell","2022-04-16",12,12,196,"Mikaela"
"721","Amelia","Luis","2022-11-23",12,40,153,"Luis"
"722","Mckayla","Kelia","2022-12-24",10,36,207,"Mckayla"
"723","Charise","Trevor","2022-06-30",9,13,62,"Charise"
"724","Mckayla","Mikaela","2022-10-22",7,43,211,"Mckayla"
"725","Anastasia","Brie","2022-04-04",17,3,219,"Anastasia"
"726","Deonte","Kristen","2022-09-21",11,58,42,"Kristen"
"727","Luis","Burton","2022-10-22",10,2,221,"Luis"
"728","Adam","Lahana","2022-05-29",11,39,110,"Lahana"
"729","Mckayla","Mufliha","2022-07-07",17,54,164,"Mufliha"
"730","Makayla","Luis","2022-03-03",8,1,90,"Makayla"
"731","Yushan","James","2022-03-03",13,7,239,"Yushan"
"732","Simone","Jennell","2022-06-30",12,31,37,"Jennell"
"733","Charise","Kristen","2022-07-31",8,38,98,"Charise"
"734","Tiffany","Joel","2022-11-23",14,51,192,"Tiffany"
"735","Ashqar","Brie","2022-08-08",9,26,240,"Ashqar"
"736","Dawnielle","Makayla","2022-03-03",11,51,40,"Dawnielle"
"737","Joel","Ye-Ji","2022-02-14",16,24,23,"Ye-Ji"
"738","Maleeha","Anjanetta","2022-05-29",14,46,73,"Anjanetta"
"739","Grace","Andrew","2022-12-24",15,51,56,"Andrew"
"740","Brie","Andrew","2022-12-24",15,31,95,"Andrew"
"741","Hadiyya","Brie","2022-04-16",7,54,32,"Brie"
"742","Kurtis","Anjanetta","2022-03-15",13,8,143,"Kurtis"
"743","Hadiyya","Adyn","2022-06-30",8,17,39,"Adyn"
"744","Charise","Luis","2022-08-20",13,40,96,"Charise"
"745","Luis","Tre","2022-10-22",10,47,58,"Luis"
"746","Adyn","Kristen","2022-06-30",8,51,213,"Adyn"
"747","Bryanna","Brie","2022-04-28",13,40,38,"Bryanna"
"748","Charise","Anjanetta","2022-02-02",9,21,176,"Charise"
"749","Pamela","Adyn","2022-05-05",7,17,155,"Pamela"
"750","Yeni","Charise","2022-12-24",11,11,49,"Charise"
"751","Lahana","Kendell","2022-06-06",15,38,108,"Lahana"
"752","Shelby","Najeeba","2022-08-20",16,23,55,"Shelby"
"753","Mikaela","Deonte","2022-04-16",12,46,140,"Mikaela"
"754","Erick","Kristen","2022-09-21",11,25,37,"Kristen"
"755","Tahleela","Dawnielle","2022-11-11",10,11,128,"Tahleela"
"756","Kaci","Hadiyya","2022-06-18",7,0,55,"Kaci"
"757","Anjanetta","Luis","2022-11-23",10,33,57,"Luis"
"758","Okatomi","Charise","2022-12-24",11,32,137,"Charise"
"759","Dawnielle","Mikaela","2022-08-08",7,16,57,"Dawnielle"
"760","Tre","Luis","2022-01-25",11,15,112,"Tre"
"761","Saara","Ye-Ji","2022-09-21",9,52,82,"Saara"
"762","Shelby","Charise","2022-07-31",8,47,95,"Charise"
"763","Jennell","Okatomi","2022-05-17",9,22,230,"Okatomi"
"764","Dawnielle","Nawwaara","2022-04-28",11,17,37,"Nawwaara"
"765","Varun","Luis","2022-11-23",12,4,27,"Luis"
"766","Kiana","Tahleela","2022-09-21",16,26,105,"Kiana"
"767","Tahleela","Najeeba","2022-09-21",14,35,95,"Najeeba"
"768","Deonte","Anjanetta","2022-05-29",14,23,56,"Anjanetta"
"769","Kaci","Jennell","2022-05-29",17,10,215,"Jennell"
"770","Lohitha","Ye-Ji","2022-07-07",15,11,191,"Lohitha"
"771","Yeni","Anastasia","2022-08-08",11,36,173,"Anastasia"
"772","Bryanna","Kendell","2022-02-14",11,58,239,"Bryanna"
"773","Lahana","Brie","2022-04-16",7,36,84,"Brie"
"774","Nhi","Yeni","2022-06-18",9,47,221,"Nhi"
"775","Kiana","Najeeba","2022-02-02",16,57,222,"Kiana"
"776","Charise","Lohitha","2022-02-02",9,33,125,"Charise"
"777","Lohitha","Maleeha","2022-04-28",10,6,119,"Lohitha"
"778","Pamela","Okatomi","2022-10-22",13,33,133,"Okatomi"
"779","Grace","Luis","2022-10-22",10,30,183,"Luis"
"780","Kiana","Deunna","2022-02-02",16,14,83,"Kiana"
"781","Burton","Luis","2022-05-05",8,45,37,"Burton"
"782","Kaci","Kiana","2022-02-02",8,45,182,"Kiana"
"783","Kelia","Kristen","2022-04-16",11,58,162,"Kristen"
"784","Sydni","Lohitha","2022-04-28",10,8,232,"Lohitha"
"785","Kiana","Pamela","2022-09-21",16,31,163,"Kiana"
"786","Erick","Lahana","2022-12-12",14,2,122,"Erick"
"787","Makayla","Trevon","2022-12-24",16,46,55,"Trevon"
"788","Tre","Luis","2022-01-25",11,49,92,"Tre"
"789","Anastasia","Yushan","2022-01-13",13,31,109,"Anastasia"
"790","Anastasia","Kristen","2022-05-05",17,26,120,"Anastasia"
"791","Yushan","Kristen","2022-04-04",13,10,198,"Yushan"
"792","Dawnielle","Luis","2022-05-05",15,36,188,"Dawnielle"
"793","Dawnielle","Mckayla","2022-08-08",7,42,31,"Dawnielle"
"794","Kiana","Tiffany","2022-11-23",14,42,114,"Tiffany"
"795","Kiana","Jennell","2022-10-10",9,48,66,"Jennell"
"796","Connor","Yeni","2022-10-10",13,41,179,"Connor"
"797","Mckayla","Yeni","2022-12-24",7,17,111,"Mckayla"
"798","Ashqar","Lahana","2022-07-07",13,1,170,"Ashqar"
"799","Ye-Ji","Lahana","2022-07-19",12,15,85,"Ye-Ji"
"800","Jennell","Luis","2022-10-10",9,45,151,"Jennell"
"801","Kristen","Brie","2022-04-16",7,19,147,"Brie"
"802","Jennell","Mufliha","2022-07-07",17,38,204,"Mufliha"
"803","Kelia","Anjanetta","2022-05-29",14,27,42,"Anjanetta"
"804","Kelia","Kristen","2022-09-21",11,18,104,"Kristen"
"805","Dawnielle","Jennell","2022-05-05",15,26,168,"Dawnielle"
"806","Mufliha","Luis","2022-11-23",10,42,119,"Luis"
"807","Kendell","Erick","2022-03-15",12,9,186,"Kendell"
"808","Deunna","Pamela","2022-02-14",10,9,67,"Deunna"
"809","Erick","Kristen","2022-09-21",11,36,238,"Kristen"
"810","Simone","Anastasia","2022-08-08",11,49,233,"Anastasia"
"811","Mckayla","Charise","2022-12-24",11,48,160,"Charise"
"812","Anjanetta","Bryanna","2022-12-12",10,23,78,"Anjanetta"
"813","Kristen","Maleeha","2022-01-13",17,53,114,"Kristen"
"814","Jennell","Charise","2022-04-28",17,24,184,"Jennell"
"815","Dawnielle","Trevor","2022-02-02",10,44,195,"Trevor"
"816","Bryanna","Kristen","2022-01-13",17,49,102,"Kristen"
"817","Okatomi","Lahana","2022-05-17",9,48,47,"Okatomi"
"818","Erick","Adyn","2022-04-28",14,17,31,"Adyn"
"819","Kiana","Anastasia","2022-11-23",11,46,45,"Kiana"
