"","Sender","Receiver","Date","Hour","Minute","Focal"
"464","Maleeha","Charise","2022-03-05",17,47,"Charise"
"465","Afnaan","Maleeha","2022-03-06",7,2,"Maleeha"
"466","Maleeha","Kendell","2022-03-06",7,54,"Maleeha"
"467","Jennell","Saara","2022-03-06",8,41,"Jennell"
"469","Timothy","Yushan","2022-03-06",12,17,"Timothy"
"470","Kurtis","Nawwaara","2022-03-06",14,37,"Kurtis"
"471","Kurtis","Simone","2022-03-06",14,52,"Kurtis"
"472","Lahana","Anastasia","2022-03-06",15,25,"Anastasia"
"473","Anjanetta","Anastasia","2022-03-06",15,33,"Anastasia"
"474","Anastasia","Jennell","2022-03-06",15,34,"Anastasia"
"475","Varun","Connor","2022-03-06",16,11,"Varun"
"476","Varun","Mikaela","2022-03-06",16,15,"Varun"
"477","Joel","Makayla","2022-03-07",7,10,"Joel"
"478","Maleeha","Kendell","2022-03-07",10,0,"Maleeha"
"479","Abdul Ghani","Makayla","2022-03-07",11,24,"Abdul Ghani"
"480","Abdul Ghani","Simone","2022-03-07",11,32,"Abdul Ghani"
"481","Amelia","Tiffany","2022-03-07",12,59,"Tiffany"
"482","Lohitha","Tiffany","2022-03-07",13,38,"Tiffany"
"483","Timothy","Isaiah","2022-03-07",15,6,"Isaiah"
"484","Burton","Brie","2022-03-07",16,28,"Brie"
"485","Brie","Ye-Ji","2022-03-07",16,34,"Brie"
"486","Kurtis","Abdul Ghani","2022-03-08",7,29,"Kurtis"
"487","Kurtis","Nhi","2022-03-08",7,52,"Kurtis"
"488","Adam","Kurtis","2022-03-08",7,58,"Kurtis"
"489","Grace","Bryanna","2022-03-08",10,27,"Grace"
"490","Shelby","Najeeba","2022-03-08",11,3,"Najeeba"
"491","Trevor","Bryanna","2022-03-08",14,59,"Bryanna"
"492","Ashqar","Ye-Ji","2022-03-08",15,12,"Ashqar"
"493","Joel","Luis","2022-03-08",17,16,"Joel"
"494","Joel","Kurtis","2022-03-08",17,38,"Joel"
"495","Anastasia","Mikaela","2022-03-09",7,49,"Mikaela"
"496","Andrew","Ye-Ji","2022-03-10",9,15,"Ye-Ji"
"497","Ye-Ji","Yushan","2022-03-10",9,26,"Ye-Ji"
"499","Burton","Yushan","2022-03-10",12,14,"Burton"
"500","Makayla","Shelby","2022-03-11",9,19,"Makayla"
"501","Makayla","Mckayla","2022-03-11",9,54,"Makayla"
"502","Anastasia","Najeeba","2022-03-11",10,43,"Anastasia"
"503","Brie","Anastasia","2022-03-11",10,50,"Anastasia"
"504","Varun","Kurtis","2022-03-11",14,20,"Varun"
"505","Luis","Anastasia","2022-03-11",17,53,"Luis"
"507","Nawwaara","Kaci","2022-03-12",7,53,"Kaci"
"508","Pamela","Deunna","2022-03-12",9,41,"Deunna"
"509","Luis","Deunna","2022-03-12",9,57,"Deunna"
"510","Najeeba","Deunna","2022-03-12",14,5,"Deunna"
"512","Deunna","Hadiyya","2022-03-12",14,44,"Deunna"
"513","Trevon","Ashqar","2022-03-13",8,6,"Ashqar"
"514","Sydni","Kiana","2022-03-13",9,59,"Sydni"
"515","Burton","Varun","2022-03-13",12,25,"Burton"
"516","Anjanetta","Kiana","2022-03-13",14,6,"Kiana"
"517","Sydni","Kiana","2022-03-13",14,34,"Kiana"
"518","Adam","Tre","2022-03-13",15,48,"Adam"
"519","Dawnielle","Najeeba","2022-03-14",8,7,"Najeeba"
"520","Najeeba","Tiffany","2022-03-14",8,55,"Najeeba"
"521","Bryanna","Deunna","2022-03-14",11,58,"Bryanna"
"522","Abdus Samad","Brie","2022-03-14",12,53,"Abdus Samad"
"523","Amelia","Saara","2022-03-14",14,38,"Amelia"
"524","Kurtis","Amelia","2022-03-14",14,55,"Amelia"
"525","Sydni","Amelia","2022-03-14",16,18,"Amelia"
"526","Yushan","Grace","2022-03-15",7,51,"Grace"
"527","Adam","Kelia","2022-03-15",8,54,"Adam"
"528","Shelby","Sydni","2022-03-15",9,42,"Shelby"
"529","Joel","Brie","2022-03-15",10,18,"Joel"
"530","Joel","Dawnielle","2022-03-15",10,36,"Joel"
"531","Lahana","Kendell","2022-03-15",12,16,"Kendell"
"532","Ye-Ji","Lahana","2022-03-15",17,36,"Lahana"
"533","Adyn","Jennell","2022-03-16",7,53,"Adyn"
"534","Adam","Varun","2022-03-16",10,13,"Varun"
"535","Erick","Isaiah","2022-03-16",15,7,"Erick"
"536","Kristen","Luis","2022-03-17",9,15,"Kristen"
"537","Kurtis","Jennell","2022-03-17",10,54,"Kurtis"
"538","Anastasia","Deunna","2022-03-17",16,30,"Deunna"
"539","Shelby","Deunna","2022-03-17",16,56,"Deunna"
"540","Kurtis","Kristen","2022-03-18",8,56,"Kristen"
"542","Connor","Mikaela","2022-03-18",17,10,"Mikaela"
"543","Kristen","Mikaela","2022-03-18",17,48,"Mikaela"
"544","Anastasia","Bryanna","2022-03-19",10,12,"Bryanna"
"545","Ashqar","Nawwaara","2022-03-19",13,20,"Nawwaara"
"546","Maleeha","Nawwaara","2022-03-19",13,36,"Nawwaara"
"547","Yeni","Bryanna","2022-03-19",17,20,"Bryanna"
"548","Bryanna","Jennell","2022-03-20",9,10,"Bryanna"
"549","Joel","Mufliha","2022-03-20",10,1,"Joel"
"550","Brie","Tiffany","2022-03-20",13,29,"Tiffany"
"551","Tiffany","Kiana","2022-03-20",13,37,"Tiffany"
"552","Timothy","Tiffany","2022-03-20",13,53,"Tiffany"
"553","Maleeha","Nawwaara","2022-03-20",15,9,"Maleeha"
"555","Hadiyya","Saara","2022-03-20",17,43,"Saara"
"556","Hadiyya","Kaci","2022-03-21",16,16,"Kaci"
"558","Anjanetta","Deunna","2022-03-21",17,28,"Deunna"
"559","Kendell","Nawwaara","2022-03-22",8,32,"Nawwaara"
"560","Afnaan","Lahana","2022-03-22",9,12,"Lahana"
"561","Lahana","Jennell","2022-03-22",9,39,"Lahana"
"563","Anastasia","Yeni","2022-03-22",11,27,"Yeni"
"564","Trevor","Deunna","2022-03-22",16,3,"Trevor"
"565","Timothy","Luis","2022-03-22",17,15,"Luis"
"566","Simone","Jennell","2022-03-23",8,5,"Jennell"
"567","James","Anastasia","2022-03-23",9,0,"Anastasia"
"568","Lahana","Anastasia","2022-03-23",9,55,"Anastasia"
"569","Connor","Amelia","2022-03-23",11,10,"Connor"
"570","Ashqar","Varun","2022-03-23",12,14,"Varun"
"571","Isaiah","Lohitha","2022-03-23",14,36,"Isaiah"
"573","Joel","Deunna","2022-03-23",17,49,"Deunna"
"574","Yushan","Simone","2022-03-24",9,12,"Yushan"
"575","Nhi","Najeeba","2022-03-24",13,43,"Nhi"
"576","Timothy","Kristen","2022-03-25",7,11,"Timothy"
"577","Afnaan","Brie","2022-03-25",10,21,"Brie"
"578","Timothy","Ye-Ji","2022-03-25",11,54,"Ye-Ji"
"579","Simone","Nhi","2022-03-25",16,13,"Nhi"
"580","Nhi","Tiffany","2022-03-25",16,17,"Nhi"
"581","Grace","Nhi","2022-03-25",16,42,"Nhi"
"582","Bryanna","Nhi","2022-03-25",16,54,"Nhi"
"583","Najeeba","Saara","2022-03-25",17,4,"Najeeba"
"584","Trevon","Luis","2022-03-26",7,18,"Trevon"
"585","Trevon","Tiffany","2022-03-26",7,54,"Trevon"
"586","Abdul Ghani","Simone","2022-03-26",9,59,"Abdul Ghani"
"587","Abdul Ghani","Saara","2022-03-26",10,11,"Abdul Ghani"
"588","Joel","Abdul Ghani","2022-03-26",10,48,"Abdul Ghani"
"589","Trevor","Deunna","2022-03-26",12,10,"Trevor"
"590","Hishaam","Barcley","2022-03-26",14,45,"Barcley"
"591","Abdul Ghani","Nawwaara","2022-03-26",17,41,"Abdul Ghani"
"593","Trevon","Hishaam","2022-03-27",8,45,"Trevon"
"594","Trevon","Mikaela","2022-03-27",8,46,"Trevon"
"595","Erick","Isaiah","2022-03-27",11,46,"Isaiah"
"596","Amelia","Saara","2022-03-27",13,9,"Amelia"
"597","Makayla","Amelia","2022-03-27",13,34,"Amelia"
"598","Hishaam","Yeni","2022-03-27",17,1,"Yeni"
"599","Lohitha","Okatomi","2022-03-28",7,37,"Lohitha"
"600","Burton","Afnaan","2022-03-28",15,31,"Burton"
"602","Abdus Samad","Tre","2022-03-29",8,19,"Abdus Samad"
"603","Isaiah","Kristen","2022-03-29",10,0,"Kristen"
"604","Kristen","Bryanna","2022-03-29",10,33,"Kristen"
"605","Brie","Pamela","2022-03-29",11,46,"Pamela"
"606","Pamela","Bryanna","2022-03-29",11,49,"Pamela"
"607","Kendell","Pamela","2022-03-29",11,54,"Pamela"
"608","Dawnielle","Amelia","2022-03-29",12,34,"Dawnielle"
"609","Lohitha","Dawnielle","2022-03-29",12,55,"Dawnielle"
"610","Grace","Makayla","2022-03-29",14,13,"Makayla"
"611","Pamela","Dawnielle","2022-03-30",7,2,"Dawnielle"
"612","Mikaela","Dawnielle","2022-03-30",7,54,"Dawnielle"
"613","Amelia","Saara","2022-03-30",10,16,"Saara"
"614","Trevor","Lahana","2022-03-30",13,34,"Lahana"
"615","Timothy","Trevor","2022-03-30",15,16,"Trevor"
"616","Varun","Kurtis","2022-03-30",16,19,"Varun"
"617","Anjanetta","Charise","2022-03-31",7,27,"Anjanetta"
"618","Maleeha","Anjanetta","2022-03-31",7,36,"Anjanetta"
"619","Kelia","Grace","2022-03-31",10,18,"Kelia"
"620","Trevon","Anjanetta","2022-03-31",13,38,"Anjanetta"
"621","Nhi","Kaci","2022-04-01",7,53,"Kaci"
"622","Mufliha","Kendell","2022-04-01",9,53,"Mufliha"
"623","Shelby","Dawnielle","2022-04-01",10,0,"Dawnielle"
"624","Dawnielle","Tiffany","2022-04-01",10,30,"Dawnielle"
"625","Yeni","Najeeba","2022-04-01",11,22,"Najeeba"
"626","Najeeba","Hadiyya","2022-04-01",11,32,"Najeeba"
"627","Najeeba","Tiffany","2022-04-01",11,47,"Najeeba"
"628","Trevor","Jennell","2022-04-01",16,24,"Jennell"
"629","Afnaan","Jennell","2022-04-01",16,28,"Jennell"
"630","Jennell","Hadiyya","2022-04-01",16,44,"Jennell"
"632","Saara","Kaci","2022-04-02",9,51,"Kaci"
"633","Hadiyya","Tiffany","2022-04-02",11,8,"Tiffany"
"634","Grace","Kiana","2022-04-02",12,41,"Grace"
"635","Mckayla","Nhi","2022-04-02",16,36,"Nhi"
"636","Abdul Ghani","Sydni","2022-04-02",17,59,"Abdul Ghani"
"637","Erick","Lahana","2022-04-03",9,41,"Lahana"
"638","Lahana","Lohitha","2022-04-03",9,42,"Lahana"
"639","Abdul Ghani","Maleeha","2022-04-03",10,49,"Abdul Ghani"
"640","Brie","Mikaela","2022-04-03",14,13,"Mikaela"
"641","Tre","Mikaela","2022-04-03",14,53,"Mikaela"
"642","Tre","Mikaela","2022-04-03",14,58,"Mikaela"
"643","Yeni","Sydni","2022-04-03",15,30,"Yeni"
"644","Ashqar","Yeni","2022-04-03",15,52,"Yeni"
"645","Brie","Jennell","2022-04-03",17,34,"Brie"
"646","Brie","Kendell","2022-04-03",17,56,"Brie"
"647","Pamela","Sydni","2022-04-04",12,34,"Pamela"
"648","Ye-Ji","Yushan","2022-04-04",13,5,"Yushan"
"649","Yushan","Hadiyya","2022-04-04",13,53,"Yushan"
"650","Luis","Mckayla","2022-04-04",14,2,"Mckayla"
"651","Mckayla","Dawnielle","2022-04-04",14,17,"Mckayla"
"652","Joel","Bryanna","2022-04-04",15,50,"Joel"
"653","Sydni","Dawnielle","2022-04-05",8,51,"Sydni"
"655","Shelby","Najeeba","2022-04-05",12,34,"Shelby"
"656","James","Barcley","2022-04-05",14,28,"Barcley"
"657","Maleeha","Lohitha","2022-04-06",10,2,"Lohitha"
"658","Lohitha","Saara","2022-04-06",10,49,"Lohitha"
"659","Adyn","Kurtis","2022-04-06",11,8,"Adyn"
"660","Timothy","Adyn","2022-04-06",11,22,"Adyn"
"661","Bryanna","Amelia","2022-04-06",12,7,"Bryanna"
"662","Deonte","Ashqar","2022-04-06",13,15,"Ashqar"
"663","Ashqar","Sydni","2022-04-06",13,16,"Ashqar"
"664","Tre","Grace","2022-04-06",14,6,"Grace"
"665","Anjanetta","Grace","2022-04-06",14,38,"Grace"
"666","Trevon","Grace","2022-04-06",16,18,"Trevon"
"667","Deonte","Luis","2022-04-07",8,9,"Luis"
"668","Tiffany","Kaci","2022-04-07",9,7,"Tiffany"
"669","Barcley","Tiffany","2022-04-07",9,27,"Tiffany"
"670","Tiffany","Kiana","2022-04-07",9,31,"Tiffany"
"671","Deunna","Tiffany","2022-04-07",9,49,"Tiffany"
"673","Tiffany","Saara","2022-04-07",9,53,"Tiffany"
"675","Ye-Ji","Bryanna","2022-04-07",11,58,"Ye-Ji"
"676","Tiffany","Kaci","2022-04-07",12,37,"Tiffany"
"677","Abdul Ghani","Ye-Ji","2022-04-07",17,12,"Ye-Ji"
"678","Anastasia","Mckayla","2022-04-08",10,47,"Anastasia"
"679","Kendell","Deunna","2022-04-08",11,15,"Kendell"
"680","Deunna","Amelia","2022-04-08",13,16,"Amelia"
"681","Adyn","Amelia","2022-04-08",13,45,"Amelia"
"682","Isaiah","Mikaela","2022-04-08",17,43,"Isaiah"
"683","James","Abdul Ghani","2022-04-09",8,53,"Abdul Ghani"
"684","Mufliha","Mikaela","2022-04-09",10,40,"Mufliha"
"685","Kurtis","Maleeha","2022-04-09",12,9,"Maleeha"
"686","Burton","Joel","2022-04-09",15,17,"Burton"
"687","Simone","Shelby","2022-04-10",9,28,"Shelby"
"688","Timothy","Tre","2022-04-10",10,1,"Tre"
"689","Bryanna","Nhi","2022-04-10",12,11,"Bryanna"
"690","Bryanna","Sydni","2022-04-10",12,19,"Bryanna"
"691","Bryanna","Sydni","2022-04-10",12,39,"Bryanna"
"692","Kristen","Bryanna","2022-04-10",12,57,"Bryanna"
"693","Kiana","Saara","2022-04-10",14,26,"Kiana"
"694","Timothy","Afnaan","2022-04-10",15,55,"Timothy"
"695","Adam","Tahleela","2022-04-10",17,11,"Tahleela"
"697","Luis","Makayla","2022-04-11",8,40,"Luis"
"698","Erick","Kelia","2022-04-11",11,14,"Erick"
"699","Erick","Lohitha","2022-04-11",11,38,"Erick"
"700","Simone","Nhi","2022-04-11",15,1,"Nhi"
"701","Nhi","Amelia","2022-04-11",15,20,"Nhi"
"702","Ashqar","Nhi","2022-04-11",15,48,"Nhi"
"703","Okatomi","Pamela","2022-04-12",9,38,"Pamela"
"704","Lahana","Tiffany","2022-04-12",10,25,"Lahana"
"705","Tiffany","Amelia","2022-04-12",17,34,"Amelia"
"706","Nhi","Amelia","2022-04-12",17,55,"Amelia"
"707","James","Dawnielle","2022-04-13",12,8,"James"
"708","James","Abdul Ghani","2022-04-13",12,22,"James"
"709","Okatomi","Anastasia","2022-04-13",14,53,"Okatomi"
"710","Kurtis","Barcley","2022-04-14",9,55,"Kurtis"
"711","Kelia","Sydni","2022-04-14",11,16,"Sydni"
"712","Okatomi","Grace","2022-04-14",13,20,"Okatomi"
"713","Timothy","Brie","2022-04-14",14,32,"Brie"
"714","Anjanetta","Yushan","2022-04-14",16,40,"Anjanetta"
"715","Nhi","Hadiyya","2022-04-15",9,57,"Nhi"
"716","Luis","Deunna","2022-04-15",11,29,"Deunna"
"717","Deunna","Kiana","2022-04-15",11,37,"Deunna"
"719","Charise","Nawwaara","2022-04-15",15,28,"Nawwaara"
"720","Afnaan","Nawwaara","2022-04-15",15,44,"Nawwaara"
"721","Trevor","Brie","2022-04-15",17,28,"Trevor"
"722","Hishaam","Trevor","2022-04-15",17,32,"Trevor"
"723","Burton","Brie","2022-04-16",9,8,"Burton"
"724","Kiana","Hadiyya","2022-04-16",17,40,"Kiana"
"725","Burton","Deunna","2022-04-17",8,50,"Burton"
"726","Grace","Tiffany","2022-04-17",15,6,"Tiffany"
"727","Kristen","Hadiyya","2022-04-17",16,9,"Kristen"
"728","Ashqar","Brie","2022-04-18",10,32,"Brie"
"729","Varun","Anastasia","2022-04-18",11,6,"Anastasia"
"730","Najeeba","Amelia","2022-04-18",13,35,"Najeeba"
"731","Kelia","Shelby","2022-04-18",14,59,"Kelia"
"732","Amelia","Tiffany","2022-04-18",15,54,"Amelia"
"733","Mckayla","Dawnielle","2022-04-18",16,12,"Dawnielle"
"734","Dawnielle","Amelia","2022-04-18",16,31,"Dawnielle"
"735","Shelby","Dawnielle","2022-04-18",16,42,"Dawnielle"
"736","Burton","Dawnielle","2022-04-18",16,49,"Dawnielle"
"737","Hishaam","Trevor","2022-04-18",17,58,"Hishaam"
"738","Okatomi","Bryanna","2022-04-19",7,35,"Bryanna"
"739","Anastasia","Bryanna","2022-04-19",7,49,"Bryanna"
"740","Connor","Ye-Ji","2022-04-19",10,49,"Ye-Ji"
"741","Mikaela","Simone","2022-04-19",11,29,"Simone"
"742","Kiana","Simone","2022-04-19",11,55,"Simone"
"743","Saara","Kaci","2022-04-19",16,15,"Kaci"
"744","Najeeba","Kaci","2022-04-19",16,37,"Kaci"
"745","Hishaam","Luis","2022-04-20",9,16,"Hishaam"
"746","Connor","Anjanetta","2022-04-20",11,45,"Anjanetta"
"747","Burton","Okatomi","2022-04-20",14,36,"Okatomi"
"748","Najeeba","Tiffany","2022-04-20",15,11,"Najeeba"
"749","Najeeba","Hadiyya","2022-04-20",15,53,"Najeeba"
"751","Ye-Ji","Lahana","2022-04-21",9,8,"Lahana"
"752","Lahana","Sydni","2022-04-21",9,19,"Lahana"
"753","Luis","Lahana","2022-04-21",9,36,"Lahana"
"754","Mufliha","Pamela","2022-04-21",10,9,"Mufliha"
"755","Mufliha","Mikaela","2022-04-21",10,18,"Mufliha"
"756","Dawnielle","Kiana","2022-04-21",12,9,"Dawnielle"
"757","Simone","Dawnielle","2022-04-21",12,12,"Dawnielle"
"758","Nawwaara","Dawnielle","2022-04-21",12,53,"Dawnielle"
"759","Trevor","Makayla","2022-04-21",14,10,"Trevor"
"760","Grace","Bryanna","2022-04-21",15,38,"Bryanna"
"762","Anastasia","Mckayla","2022-04-22",11,37,"Mckayla"
"763","Ashqar","Ye-Ji","2022-04-22",12,14,"Ashqar"
"764","Ashqar","Abdul Ghani","2022-04-22",12,57,"Ashqar"
"766","Sydni","Kiana","2022-04-22",13,35,"Sydni"
"767","Maleeha","Simone","2022-04-22",14,8,"Maleeha"
"768","Maleeha","Nhi","2022-04-22",14,22,"Maleeha"
"769","Mikaela","Shelby","2022-04-23",7,34,"Shelby"
"770","Lahana","Shelby","2022-04-23",7,50,"Shelby"
"771","Shelby","Sydni","2022-04-23",9,55,"Sydni"
"772","Trevor","Okatomi","2022-04-23",11,39,"Okatomi"
"773","Okatomi","Bryanna","2022-04-23",14,0,"Bryanna"
"774","Luis","Bryanna","2022-04-23",14,38,"Bryanna"
"775","Maleeha","Dawnielle","2022-04-23",15,31,"Dawnielle"
"776","Mufliha","Okatomi","2022-04-23",16,49,"Mufliha"
"777","Shelby","Sydni","2022-04-24",7,18,"Sydni"
"779","Lohitha","Mckayla","2022-04-24",9,9,"Mckayla"
"780","Luis","Nhi","2022-04-24",10,9,"Luis"
"781","Nawwaara","Najeeba","2022-04-24",11,16,"Nawwaara"
"782","Kurtis","Mikaela","2022-04-24",12,41,"Kurtis"
"783","Pamela","Hadiyya","2022-04-24",13,11,"Pamela"
"784","Trevor","Ye-Ji","2022-04-24",17,54,"Trevor"
"785","Luis","Brie","2022-04-25",7,26,"Luis"
"786","Yushan","Grace","2022-04-25",8,37,"Grace"
"787","Anastasia","Pamela","2022-04-25",9,41,"Pamela"
"788","Charise","Pamela","2022-04-25",9,43,"Pamela"
"789","Amelia","Kiana","2022-04-25",11,51,"Amelia"
"790","Trevon","James","2022-04-25",13,15,"James"
"791","James","Kristen","2022-04-25",13,50,"James"
"792","Tre","Hishaam","2022-04-25",14,19,"Tre"
"793","Trevor","Luis","2022-04-25",16,29,"Trevor"
"794","Deonte","Ashqar","2022-04-25",17,44,"Deonte"
"795","Saara","Kaci","2022-04-26",7,6,"Kaci"
"796","Sydni","Kaci","2022-04-26",7,51,"Kaci"
"797","Hadiyya","Kaci","2022-04-26",7,51,"Kaci"
"798","Nawwaara","Hadiyya","2022-04-26",8,34,"Nawwaara"
"799","Luis","Nawwaara","2022-04-26",8,44,"Nawwaara"
"800","Kristen","Pamela","2022-04-26",10,30,"Pamela"
"801","Pamela","Bryanna","2022-04-26",10,31,"Pamela"
"802","Anastasia","Nawwaara","2022-04-26",12,2,"Anastasia"
"803","Lahana","Anastasia","2022-04-26",12,54,"Anastasia"
"804","Abdul Ghani","Anastasia","2022-04-26",12,55,"Anastasia"
"805","Erick","Anjanetta","2022-04-26",15,35,"Anjanetta"
"807","Isaiah","Ashqar","2022-04-27",9,18,"Isaiah"
"808","Joel","Pamela","2022-04-27",14,6,"Joel"
"810","Bryanna","Sydni","2022-04-27",17,50,"Bryanna"
"811","Grace","Makayla","2022-04-28",7,22,"Grace"
"812","Mufliha","Nawwaara","2022-04-28",11,35,"Nawwaara"
"813","Nawwaara","Sydni","2022-04-28",11,42,"Nawwaara"
"814","Bryanna","Saara","2022-04-28",13,54,"Bryanna"
"815","Anjanetta","Lahana","2022-04-28",15,7,"Lahana"
"816","Ye-Ji","Lahana","2022-04-28",15,12,"Lahana"
"817","Lahana","Grace","2022-04-28",15,18,"Lahana"
"818","Joel","Deonte","2022-04-29",8,45,"Joel"
"819","Burton","Ashqar","2022-04-29",10,12,"Ashqar"
"820","Hishaam","Ashqar","2022-04-29",10,28,"Ashqar"
"821","Simone","Nhi","2022-04-29",11,32,"Simone"
"822","Tre","Yushan","2022-04-29",12,10,"Tre"
"823","Luis","Lohitha","2022-04-29",13,2,"Luis"
"824","Charise","Nawwaara","2022-04-29",15,49,"Nawwaara"
"825","Lahana","Nawwaara","2022-04-29",15,50,"Nawwaara"
"826","Abdus Samad","Anastasia","2022-04-29",16,0,"Abdus Samad"
"827","Makayla","Najeeba","2022-04-29",17,1,"Makayla"
"828","Timothy","Anjanetta","2022-04-30",9,15,"Timothy"
"829","Ashqar","Simone","2022-04-30",11,57,"Simone"
"830","Anjanetta","Brie","2022-04-30",14,27,"Brie"
"831","Afnaan","Makayla","2022-04-30",17,54,"Makayla"
"832","Pamela","Makayla","2022-04-30",17,55,"Makayla"
"834","Barcley","Sydni","2022-05-01",14,48,"Barcley"
"837","Luis","Mikaela","2022-05-03",10,53,"Luis"
"838","Kelia","Mckayla","2022-05-03",11,2,"Kelia"
"839","Kelia","Mckayla","2022-05-03",11,26,"Kelia"
"840","Connor","Okatomi","2022-05-03",13,20,"Connor"
"841","Anastasia","Grace","2022-05-04",8,29,"Anastasia"
"842","Brie","Lahana","2022-05-04",12,55,"Lahana"
"843","Kurtis","Lahana","2022-05-04",13,12,"Lahana"
"844","Barcley","Ashqar","2022-05-04",15,56,"Barcley"
"845","Charise","Anastasia","2022-05-04",17,30,"Charise"
"846","Ye-Ji","Pamela","2022-05-05",7,20,"Pamela"
"847","Pamela","Mckayla","2022-05-05",7,32,"Pamela"
"848","Burton","Deonte","2022-05-05",8,8,"Burton"
"849","Burton","Kurtis","2022-05-05",8,30,"Burton"
"850","Simone","Dawnielle","2022-05-05",10,31,"Simone"
"851","Maleeha","Mckayla","2022-05-05",13,39,"Mckayla"
"852","Timothy","Ye-Ji","2022-05-06",9,40,"Ye-Ji"
"853","Anastasia","Deunna","2022-05-06",14,59,"Anastasia"
"854","Deonte","Nawwaara","2022-05-06",16,49,"Nawwaara"
"857","Pamela","Mckayla","2022-05-07",12,16,"Pamela"
"858","Adyn","Pamela","2022-05-07",12,37,"Pamela"
"859","Joel","Anjanetta","2022-05-07",13,31,"Anjanetta"
"860","Lohitha","Pamela","2022-05-07",16,52,"Lohitha"
"861","Tre","Barcley","2022-05-08",15,13,"Tre"
"862","Tre","Barcley","2022-05-08",15,24,"Tre"
"863","Okatomi","Anastasia","2022-05-08",16,5,"Okatomi"
"864","Okatomi","Charise","2022-05-08",16,58,"Okatomi"
"865","Kendell","Yeni","2022-05-09",9,55,"Kendell"
"866","Kendell","Yushan","2022-05-09",9,56,"Kendell"
"867","Simone","Hadiyya","2022-05-09",13,3,"Hadiyya"
"868","Nhi","Hadiyya","2022-05-09",13,48,"Hadiyya"
"869","Sydni","Deunna","2022-05-09",15,31,"Sydni"
"871","Mckayla","Nhi","2022-05-09",16,29,"Mckayla"
"872","Abdus Samad","Kristen","2022-05-09",17,24,"Kristen"
"873","Hishaam","Connor","2022-05-10",8,0,"Hishaam"
"874","Tre","Afnaan","2022-05-10",11,8,"Afnaan"
"875","Afnaan","Najeeba","2022-05-10",11,56,"Afnaan"
"876","Lohitha","Nawwaara","2022-05-10",12,4,"Nawwaara"
"877","Abdus Samad","Varun","2022-05-10",13,4,"Varun"
"878","Varun","Luis","2022-05-10",13,18,"Varun"
"879","Kurtis","Nawwaara","2022-05-10",17,7,"Kurtis"
"880","James","Connor","2022-05-11",7,59,"James"
"881","Grace","Makayla","2022-05-11",8,17,"Grace"
"882","Kristen","Grace","2022-05-11",8,25,"Grace"
"883","Grace","Hadiyya","2022-05-11",8,27,"Grace"
"884","Lohitha","Tiffany","2022-05-11",9,5,"Tiffany"
"885","Nhi","Tiffany","2022-05-11",9,9,"Tiffany"
"886","Grace","Nhi","2022-05-11",14,35,"Nhi"
"887","Shelby","Najeeba","2022-05-11",17,12,"Shelby"
"888","Shelby","Najeeba","2022-05-11",17,55,"Shelby"
"889","Ashqar","Yeni","2022-05-12",7,8,"Yeni"
"890","Pamela","Yeni","2022-05-12",7,38,"Yeni"
"891","Yeni","Dawnielle","2022-05-12",8,5,"Dawnielle"
"892","Sydni","Dawnielle","2022-05-12",8,14,"Dawnielle"
"893","Nhi","Dawnielle","2022-05-12",8,31,"Dawnielle"
"894","Andrew","James","2022-05-12",10,26,"James"
"895","James","Afnaan","2022-05-12",10,34,"James"
"896","Barcley","Mikaela","2022-05-12",13,57,"Mikaela"
"897","Joel","Connor","2022-05-13",8,4,"Joel"
"898","Joel","Okatomi","2022-05-13",8,43,"Joel"
"899","Nhi","Tiffany","2022-05-13",10,20,"Tiffany"
"900","Tiffany","Kaci","2022-05-13",10,52,"Tiffany"
"901","Maleeha","Yushan","2022-05-13",12,37,"Maleeha"
"902","Maleeha","Hadiyya","2022-05-13",12,54,"Maleeha"
"903","Bryanna","Sydni","2022-05-13",17,44,"Bryanna"
"905","Shelby","Deunna","2022-05-14",7,57,"Deunna"
"906","Pamela","Mckayla","2022-05-14",8,19,"Pamela"
"907","Kelia","Pamela","2022-05-14",8,28,"Pamela"
"908","Makayla","Mckayla","2022-05-14",11,25,"Mckayla"
"909","Varun","Hadiyya","2022-05-14",16,19,"Varun"
"910","Joel","Anjanetta","2022-05-15",9,58,"Anjanetta"
"911","Trevor","Lohitha","2022-05-16",7,21,"Lohitha"
"912","Anastasia","Hadiyya","2022-05-16",13,1,"Anastasia"
"913","Anastasia","Mikaela","2022-05-16",13,2,"Anastasia"
"915","Luis","Grace","2022-05-16",15,14,"Luis"
"916","Grace","Jennell","2022-05-16",16,14,"Grace"
"917","Grace","Lahana","2022-05-16",16,52,"Grace"
"918","Grace","Pamela","2022-05-16",17,3,"Grace"
"919","Hishaam","Okatomi","2022-05-17",9,29,"Okatomi"
"920","Saara","Kaci","2022-05-18",8,14,"Saara"
"922","Shelby","Amelia","2022-05-18",9,22,"Shelby"
"923","Simone","Shelby","2022-05-18",9,41,"Shelby"
"924","Anastasia","Shelby","2022-05-18",9,45,"Shelby"
"925","Grace","Yeni","2022-05-18",12,34,"Grace"
"926","Maleeha","Anjanetta","2022-05-18",13,11,"Maleeha"
"927","Isaiah","Maleeha","2022-05-18",13,27,"Maleeha"
"928","Afnaan","Shelby","2022-05-18",17,15,"Shelby"
"929","Anastasia","Kelia","2022-05-19",11,29,"Anastasia"
